Дата;СПб;Лен. обл.;Москва;Моск. обл
2020-03-02;0;0;0;1
2020-03-03;0;0;0;1
2020-03-04;0;0;0;1
2020-03-05;1;0;0;1
2020-03-06;1;0;5;1
2020-03-07;2;0;5;1
2020-03-08;2;0;5;2
2020-03-09;2;0;8;2
2020-03-10;2;0;8;2
2020-03-11;2;0;14;4
2020-03-12;2;0;18;4
2020-03-13;5;1;23;5
2020-03-14;6;1;32;6
2020-03-15;6;1;32;9
2020-03-16;9;1;52;10
2020-03-17;9;1;56;11
2020-03-18;9;1;87;11
2020-03-19;10;1;99;16
2020-03-20;14;1;132;17
2020-03-21;16;1;138;34
2020-03-22;16;1;192;34
2020-03-23;16;1;263;34
2020-03-24;21;3;291;34
2020-03-25;21;3;411;40
2020-03-26;26;3;547;40
2020-03-27;26;3;704;48
2020-03-28;37;7;818;84
2020-03-29;42;9;1015;111
2020-03-30;50;11;1227;118
2020-03-31;98;14;1614;118
2020-04-01;125;20;1881;133
2020-04-02;147;31;2476;176
2020-04-03;156;41;2924;210
2020-04-04;171;47;3358;259
2020-04-05;191;57;3894;304
2020-04-06;226;62;4485;386
2020-04-07;295;62;5182;453
2020-04-08;329;94;5842;548
2020-04-09;373;112;6699;747
2020-04-10;408;129;7823;929
2020-04-11;488;134;8853;1081
2020-04-12;557;139;10159;1359
2020-04-13;678;155;11514;1854
2020-04-14;799;190;13003;2314
2020-04-15;929;298;14777;2586
2020-04-16;1083;330;16147;3053
2020-04-17;1507;354;18106;3525
2020-04-18;1646;388;20755;3953
2020-04-19;1760;417;24325;4662
2020-04-20;1846;454;26351;5240
2020-04-21;1973;496;29434;5958
2020-04-22;2267;537;31982;6589
2020-04-23;2458;576;33941;7277
2020-04-24;2711;615;36898;7888
2020-04-25;2926;658;39510;8493
2020-04-26;3077;700;42481;9069
